feature,shap_importance,permutation_importance,permutation_std
num_accommodations,0.04994296423020448,0.23502109704641347,0.02517895147314042
avg_sentiment,0.048749856491668346,0.1856540084388186,0.023593504038083798
total_positive_words,0.02418981410775409,0.07355836849507738,0.01125263709646672
places_tourist_shops,0.014163188603835678,0.003938115330520423,0.003068554743920037
avg_positive_words,0.012124645262786608,0.035161744022503535,0.010525055940292377
place_grade_std,0.009711298577348502,0.010126582278481048,0.004944696436356387
avg_place_grade,0.00874557060013401,0.0015471167369901764,0.0020333097461042423
sentiment_ratio,0.007329108413449066,0.005063291139240545,0.002531645569620245
sentiment_std,0.00703382748358179,0.022784810126582303,0.008480907697148415
total_negative_words,0.0068473093088736725,0.008720112517580921,0.006252070540335556
total_places,0.006427019639843679,0.0,0.0
review_length_std,0.005966851778327447,0.0007032348804501098,0.0034594581930376556
review_count,0.00487394370795839,0.0019690576652602247,0.0021050111880585058
avg_rooms_per_hotel,0.0044949676089275515,0.006610407876230699,0.003390146495975794
total_rooms,0.002494033771242767,0.028832630098452904,0.009377051083422355
avg_accommodation_grade,0.0018360608637741605,0.0,0.0
avg_negative_words,0.001817865488309523,0.02053445850914208,0.0074476524865674945
avg_review_length,0.0017317359187239607,-0.0007032348804500432,0.007937525209295353
avg_word_count,0.0015688470924176848,0.0,0.0
min_sentiment,0.0,0.0,0.0
max_sentiment,0.0,0.0,0.0
sentiment_consistency,0.0,0.0,0.0
avg_caps_ratio,0.0,0.0,0.0
avg_question,0.0,0.0,0.0
avg_exclamation,0.0,0.0,0.0
accommodation_diversity,0.0,0.0,0.0
grade_std,0.0,0.004219409282700452,0.005337177485516263
rooms_std,0.0,0.004922644163150525,0.003283436717279538
places_restaurants,0.0,0.0,0.0
places_spa_and_wellness_centers,0.0,0.0,0.0
places_spice_gardens,0.0,0.0,0.0
places_travel_agents,0.0,0.0,0.0
places_water_sports_centers,0.0,0.0,0.0
airbnb_avg_rating,0.0,0.0,0.0
airbnb_total_listings,0.0,0.0,0.0
airbnb_avg_guests,0.0,0.0,0.0
airbnb_rating_std,0.0,0.0,0.0
airbnb_total_capacity,0.0,0.0,0.0
national_tourism_index,0.0,0.0,0.0
tourism_seasonality,0.0,0.0,0.0
avg_exchange_rate,0.0,0.0,0.0
